,filename,label
0,saikrishna.2.0.jpg,2
1,saikrishna.2.1.jpg,2
2,saikrishna.2.2.jpg,2
3,saikrishna.2.3.jpg,2
4,saikrishna.2.4.jpg,2
5,saikrishna.2.5.jpg,2
6,saikrishna.2.6.jpg,2
7,saikrishna.2.7.jpg,2
8,saikrishna.2.8.jpg,2
9,saikrishna.2.9.jpg,2
10,sricharan.3.0.jpg,3
11,sricharan.3.1.jpg,3
12,sricharan.3.2.jpg,3
13,sricharan.3.3.jpg,3
14,sricharan.3.4.jpg,3
15,sricharan.3.5.jpg,3
16,sricharan.3.6.jpg,3
17,sricharan.3.7.jpg,3
18,sricharan.3.8.jpg,3
19,sricharan.3.9.jpg,3
20,sricharan.3.10.jpg,3
21,sricharan.3.11.jpg,3
22,sricharan.3.12.jpg,3
23,sricharan.3.13.jpg,3
24,sricharan.3.14.jpg,3
25,sricharan.3.15.jpg,3
26,varun.4.0.jpg,4
27,varun.4.1.jpg,4
